title,description,description_bottom,category
Samsung Duo Plus USB 3.1 Flash Drive 128GB - 400MB/s - Type-C with Type-A Adapter (MUF-128DB/AM),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) TWO FLASH DRIVES IN ONE: Cable-free Samsung DUO Plus 2-in-1 Type-C USB flash drive for instant storage of your photos, videos, music, and files on laptops, tablets, TV’s, car audio systems, gaming consoles and more QUICK AND CONVENIENT READ SPEEDS: Redefine everyday file transfers with read speeds up to 300MB/s; Type-C USB 3.1 flash drive with backwards compatibility (USB 3.0, USB 2.0) DOUBLE YOUR CONNECTIVITY: One flash drive for many devices with both USB Type-C and Type-A connectivity lets you quickly free up device space with fast backups and file offloads BUILT TO LAST RELIABILITY: Shock proof flash drive is also water proof, temperature proof, x-ray proof and magnetic proof. Actual speed may vary by host device and actual usage conditions. Write speed is lower than read speed 5-YEAR LIMITED WARRANTY: 5-year limited warranty",,data storage
"SAMSUNG T7 Touch Portable SSD 1TB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Black (MU-PC1T0K/WW)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) FINGERPRINT SECURITY: SSD with fingerprint and password security BLAZING FAST STORAGE: Reads up to 1,050 MB/s / Writes up to 1 000 MB/s. Transfers files nearly 9.5x faster than hard drives LED STATUS INDICATOR: The T7 Touch features an LED square that illuminates to keep you informed of what your SSD is doing at a glance BUILT STRONG: Shock-resistant and withstands drops from 6ft","Color: Black | 

Capacity: 1TB Transfer in a flash, secure with a touch. Whether you're storing critical business documents, games, or movies, the Portable SSD T7 Touch gives you speed and security in a palm-sized package. Experience the next level of external storage, available in three capacities to suit your needs: 500GB, 1TB, or 2TB. RoHS Compliance: RoHS2.",data storage
SAMSUNG 860 PRO SSD 512GB - 2.5 Inch SATA III Internal Solid State Drive with MLC V-NAND Technology (MZ-76P512BW),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Compatible Devices: This Drive Is Compatible With Servers And Arrays That Accept 2.5"" 7Mm Sata Drives","Capacity: 512GB Industry leading reliability: Powered by the latest V-NAND technology and a robust algorithm-based controller, the Samsung 860 PRO SSD readily handles heavy workloads of high-end PCs, workstations and NAS (Network Attached Systems) to give lasting assurance to gamers, IT and creative professionals. Speeds are consistent and sustained, even under heavy workloads and multitasking. The 860 PRO Solid State Drive performs at sequential read speeds up to 560MB/s with the combination of the latest V-NAND and a refined controller, delivering sequential write speeds up to 530MB/s. The smart compatibility of the SSD lets you benefit from faster, more fluid communication with your host system. The refined ECC algorithm and a new MJX controller generate higher speeds, and the improved queued trim enhances Linux compatibility. Usage Application: Client PCs, Reliability (MTBF):1.5 Million Hours Reliability (MTBF), AES Encryption: AES 256-bit Encryption (Class 0)TCG/Opal IEEE1667 (Encrypted drive),GC (Garbage Collection): Auto Garbage Collection Algorithm",data storage
Samsung 860 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-76E500B/AM),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Innovative V-Nand Technology: Powered by Samsung V-NAND Technology, the 860 EVO SSD offers optimized performance for everyday computing as well as rendering large-sized 4K videos and 3D data used by the latest applications Enhanced read write speeds: Sequential read and write performance levels of up to 550MB/s and 520MB/s, respectively Secure encryption: Protect data by selecting security options, including AES 256-bit hardware-based encryption compliant with TCG Opal and IEEE 1670 Warranty and compatibility: 5-year limited warranty; Windows 8/Windows 7/Windows Server 2003 (32 bit and 64 bit), Vista (SP1 and above), XP (SP2 and above), MAC OSX and Linux Included contents: 2.5 inches (7 millimeter) SATA 3 (6 Gb/s) SSD & user manual (All other cables, screws, brackets not included); Reliability (MTBF): 1.5 Million Hours Reliability (MTBF)","Capacity: 500GB The SSD you trust: The newest edition to the world's best-selling SATA SSD series, the Samsung 860 EVO SSD is specially designed to enhance performance of mainstream PCs and laptops. With the latest V-NAND technology, this fast and reliable Solid State Drive comes in a wide range of compatible form factors and capacities. Its enhanced performance delivers consistent speeds, even under heavy workloads and multi-tasking, allowing for faster file transfers. The 860 EVO performs at sequential read speeds of up to 550MB/s with Intelligent TurboWrite technology, and sequential write speeds of up to 520MB/s. The TurboWrite buffer size is upgraded from 12GB to 78GB (performance may vary based on user's system hardware and configuration). The 860 EVO also offers boosted endurance of up to 8x higher TBW (Terabytes Written) than the 850 EVO. Feel secure storing and rendering large-sized 4K videos and 3D data used by the latest applications. The smart compatibility of the SSD lets you benefit from faster, more fluid communication with your host system. The refined ECC (Error Correction Code) algorithm and a new MJX controller generate higher speeds, and the improved queued trim enhances Linux compatibility. The 860 EVO provides reliability of 1.5 million hours (MTBF).",data storage
"SAMSUNG BAR Plus 128GB - 400MB/s USB 3.1 Flash Drive, Titan Gray (MUF-128BE4/AM)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) SPEED: Redefine everyday file transfers with speeds up to 400MB/s SECURITY: Reliable and secure storage for your photos, videos, music, and files STYLISH: Rugged metal casing for durability with key ring to prevent loss DURABILITY: Safeguard your data (Water proof, shock proof, magnet proof, temperature proof, x-ray proof) COMPATIBILITY: USB 3.1 flash drive with backwards compatibility (USB 3.0, USB 2.0)","Size: 128 GB | 

Color: Gray Redefine everyday file transfers with the Samsung BAR Plus USB 3.1 Flash Drive. Just plug it in and expand the storage of your devices with an unnoticeable, seamless fit. Designed with a key ring to prevent loss. Fast and convenient read speeds up to 300MB/s*, so that you have more time to work, play, watch, and create. A reliable and secure solution for your personal photos, videos, music, documents, and files. Safeguard your data backed by a 5-year limited warranty (water proof, shock proof, magnet proof, temperature proof, x-ray proof). Experience Samsung's industry-leading V-NAND (64 layer) technology. *Speeds may vary by capacity.Operating Temperature :0~60℃",data storage
SAMSUNG FIT Plus USB 3.1 Flash Drive 128GB - (MUF-128AB/AM),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Compatible Devices: Television;Tablet;Laptop",,data storage
"SAMSUNG T7 Portable SSD 500GB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Gray (MU-PC500T/AM)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) TRANSFER IN A FLASH: Transfers files nearly 9.5x faster than external hard disk drive (HDD). Reads up to 1,050 MB/s / Writes up to 1,000 MB/s on USB 3.2 gen 2 supported devices*. *SAMSUNG RECOMMENDS users to download the latest firmware update via the included Portable SSD Software 1.0 to ensure optimal performance Data transfer speed may vary depending on the user’s PC environment and the types of data being transferred. USB 3.2 Gen2 and UASP support are required for maximum transfer speed (1,050MB/s)** **SAMSUNG RECOMMENDS the usage of the included USB Type-C to C and USB Type-C to A cables. Non-original cables may cause performance degradation due to the varying internal resistance and maximum allowable currency BUILT STRONG & SECURE: Shock-resistant and withstands drops from 6ft. ADVANCED HEAT CONTROL: DYNAMIC THERMAL GUARD (DTG) TECHNOLOGY protects the T7(T7 Touch) from overheating by automatically slowing down data transfer if necessary. DTG technology enhances product safety and reliability by preventing the T7(T7 Touch) from reaching an excessively high temperature PASSWORD SECURITY",,data storage
"SAMSUNG 870 QVO SATA III 2.5"" SSD 1TB (MZ-77Q1T0B)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) GO BIG, DO MORE: The 870 QVO is Samsung's latest 2nd generation QLC SSD with up to 8TB of storage capacity ENHANCED IN EVERY WAY: With an expanded, SATA interface limit of 560/530 MB/s sequential speeds, the 870 QVO improves random access speed and sustained performance BOOST CAPACITY: The 870 QVO is available in 1, 2, 4 and 8TB RELIABLE AND SUSTAINABLE: The capacity of the 8TB 870 QVO increases reliability up to 2,880 TBW using a refined ECC algorithm for stable performance UPGRADE WITH EASE: Upgrading to 870 QVO is now easier than ever for anyone with a desktop PC or laptop that supports a standard 2.5 inch SATA form factor.SAMSUNG MAGICIAN SOFTWARE: Manage your drive and enhance its performance with tools that keep up with the latest updates and monitor the drive's health and status.WORLD'S No.1 FLASH MEMORY BRAND: All firmware and components, including Samsung's world renowned DRAM and NAND, are produced in house, allowing end to end integration for quality you can trust","Capacity: 1TB Sequential Read/Write performance reaching up to 560/530 MB/s provides best in class performance via the SATA interface. Accelerated read performance up to 13% faster than 860 QVO for added benefits for everyday computing. 870 QVO provides adequate amount of TBW for daily use, equivalent to 3 bit MLC SSDs and offers up to 1,440 TBW guaranteed endurance. Expanded capacity up to 4TB for client SSD in 2.5” 7mm form factor. Up To Three Year Limited Warranty. Warrantied TBW: 360 TBW for 1TB model, 720 TBW for 2TB model and 1,440 TBW for 4TB model. Limited warranty up to 3 years or up to the TBW for each capacity, whichever comes first. For more information on warranty, please find the enclosed warranty statement in the package.",data storage
Samsung (MZ-V8V1T0B/AM) 980 SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) UPGRADE TO IMPRESSIVE NVMe SPEED Whether you need a boost for gaming or a seamless workflow for heavy graphics, the 980 is a smart choice for outstanding SSD performance PACKED WITH SPEED 980 delivers value, without sacrificing sequential read/write speeds up to 3,500/3,000 MB/s KEEP MOVING WITH FULL POWER MODE Keep your SSD running at its peak with Full Power Mode, which drives continuous and consistent high performance BUILT FOR THE LONG RUN With up to 600 TBW and a 5 year limited warranty, the 980's optimized endurance comes with trusted reliability RELIABLE THERMAL CONTROL 980 uses nickel coating to help manage the controller's heat level and a heat spreader label to deliver effective thermal control of the NAND chip.SMART THERMAL SOLUTION Embedded with Samsung's cutting edge thermal control algorithm, 980 manages heat on its own to deliver durable and reliable performance, while minimizing performance fluctuations during extended usage.SAMSUNG MAGICIAN SOFTWARE Monitor drive health, optimize performance, protect valuable data, and receive important updates with Magician to ensure you're always getting the best performance out of your SSD","Capacity: 1TB All firmware and components, including Samsung's world renowned DRAM and NAND, are produced in house, allowing end to end integration for quality you can trust.",data storage
SAMSUNG 980 PRO 2TB PCIe NVMe Gen4 Internal Gaming SSD M.2 (MZ-V8P2T0B/AM),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Next-level SSD performance: Unleash the power of the Samsung 980 PRO PCIe 4.0 NVMe SSD for next-level computing. 980 PRO delivers 2x the data transfer rate of PCIe 3.0, while maintaining compatibility with PCIe 3.0. Maximum Speed: Get read speeds up to 7,000 MB/s with 980 PRO and push the limits of what SSDs can do. Powered by a new Elpsis controller designed to harmonize the flash memory components and the interface for superior speed – with a PCIe 4.0 interface that’s 2x faster than PCIe 3.0 SSDs and 12x faster than Samsung SATA SSDs – every component of this NVMe SSD is manufactured by Samsung for performance that lasts. A winning combination: Designed for hardcore gamers and tech-savvy users, the 980 PRO offers high-performance bandwidth and throughput for heavy-duty applications in gaming, graphics, data analytics, and more. It's fast at loading games, so you can play more and wait less. Efficient M.2 SSD: The 980 PRO comes in a compact M.2 2280 form factor, which can be easily plugged into desktops and laptops. Due to its size and thus optimized power efficiency, it’s ideal for building high-performance computing systems. Reliable thermal control: High-performance SSDs usually require high-performance thermal control. To ensure stable performance, the 980 PRO uses nickel coating to help manage the controller's heat level and a heat spreader label to deliver effective thermal control of the NAND chip.","Capacity: 2TB Unleash the power of the Samsung 980 PRO PCIe 4.0 NVMe SSD for next-level computing. 980 PRO delivers 2x the data transfer rate of PCIe 3.0, while maintaining compatibility with PCIe 3.0. The NVM Express® design mark is a registered trademark of NVM Express, Inc.",data storage
SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) INNOVATIVE V-NAND TECHNOLOGY: Powered by Samsung V-NAND Technology, the 970 EVO Plus SSD’s NVMe interface (PCIe Gen 3.0 x4 NVMe 1.3) offers enhanced bandwidth, low latency, and power efficiency ideal for tech enthusiasts, high end gamers, and 4K & 3D content designers BREAKTHROUGH READ WRITE SPEEDS: Sequential read and write performance levels of up to 3,500MB/s and 3,300MB/s, respectively; Random Read (4KB, QD32): Up to 600,000 IOPS Random Read PERFORMANCE OPTIMIZATION AND DATA SECURITY: Seamless cloning and file transfers with Samsung Magician Software, the ideal SSD management solution for performance optimization and data security with automatic firmware updates SUPERIOR HEAT DISSIPATION: Samsung’s Dynamic Thermal Guard automatically monitors and maintains optimal operating temperatures to minimize performance drops 5-YEAR LIMITED WARRANTY: 5-year limited warranty or 600 TBW (Terabytes Written) Note: Model: MZ-V7S2T0 on packaging is the model number and Item model number provided MZ-V7S2T0B/AM is technically the item code which shows country of intended sale","Capacity: 2TB For intensive workloads on PCs and workstations, the Samsung 970 EVO Plus delivers ultimate performance powered by Samsung's NVMe SSD leadership. The ultimate in performance, the 970 EVO Plus is upgraded to be faster than the 970 EVO. It maximizes the potential of NVMe bandwidth for unbeatable computing that meets the needs of the most demanding tech enthusiasts and professionals. For performance that puts you in command, the 970 EVO Plus combines the next-gen PCIe Gen 3.0 x4 NVMe interface with the latest V-NAND technology to achieve fearless read/write speeds up to 3,500/3,300MB/s, up to 53% faster than the 970 EVO. Samsung’s advanced nickel-coated controller and heat spreader on the 970 EVO Plus Solid State Drive enable superior heat dissipation. The Dynamic Thermal Guard automatically monitors and maintains optimal operating temperatures to minimize performance drops. Advanced drive management made simple, Samsung Magician software will help you keep an eye on your drive. A suite of user-friendly tools helps keep your drive up to date, monitor drive health and speed, and even boost performance.",data storage
Samsung 883 DCT Series SSD 240GB - SATA 2.5” 7mm Interface Internal Solid State Drive with V-NAND Technology for Business (MZ-7LH240NE),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) HIGH-PERFORMANCE BUSINESS SOLUTION: With Samsung proprietary 3-bit MLC V-NAND, the 883 DCT delivers optimized performance for data center demands with end-to-end data protection to help ensure consistency over the entire data transfer path SEQUENTIAL READ WRITE SPEEDS: Sequential read/write speeds of up to 560/520MB/s, respectively, and random read/write speeds of up to 98K/28K IOPS are ideal for handling massive amounts of data POWER-LOSS PROTECTION: Protect data integrity from unexpected power loss with Samsung's advanced power-loss protection architecture SAMSUNG DATA CENTER TECHNOLOGY: Reliable SATA interface solid state drive with the endurance to handle heavy workloads for servers DATA SECURITY: Secure data without performance degradation thanks to AES 256-bit encryption 5-YEAR LIMITED WARRANTY: 5-year limited warranty up to 2,733 TBW","Model name: MZ-7LH240NE The Samsung 883 Series SATA SSD with V-NAND Technology are an ideal solution for servers that need enhanced data reliability to safeguard critical data. From optimized performance and a high Quality of Service (QoS), to power-loss protection and end-to-end data protection, they deliver a highly reliable enterprise storage solution using the SATA interface. The 883 DCT features a 2.5-inch form factor and SATA interface, making it easy to upgrade your SSDs within your existing infrastructure. And they're backed by a 5-year limited warranty up to 2,733 TBW.",data storage
"SAMSUNG T5 Portable SSD 1TB - Up to 540MB/s - USB 3.1 External Solid State Drive, Black (MU-PA1T0B/AM)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Superfast read write speeds: SSD with V-NAND offers ultra-fast data transfer speeds of up to 540MB/s (up to 4.9x faster than external HDDs); Ideal for transferring large-sized data including 4K videos, high-resolution photos, games and more Compact and portable design: Top to bottom shock resistant metal design fits in the palm of your hand and easily slides in your pocket or purse to take work and entertainment on the go Secure encryption: Optional password protection and AES 256-bit hardware encryption keeps your personal and private data more secure Seamless connectivity: Includes USB type C to C and USB type C to A cables to connect to PCs, Macs, smartphones and other devices Warranty and compatibility: 3-year limited warranty; Requires Windows 7, Mac OS X 10.9 (Mavericks), Android 4.4 (KitKat), or higher; Older versions of the Windows, Mac and Android operating systems may not be supported","Color: Black | 

Capacity: 1 TB | 

Style: Single The SAMSUNG T5 Portable SSD has the latest in SAMSUNG V-NAND flash memory technology. Its portable design, blazing fast transfer speeds of up to 540 MB/s, shock resistance, and secure encryption make it the best portable SSD on the market.",data storage
"Acer R240HY bidx 23.8-Inch IPS HDMI DVI VGA (1920 x 1080) Widescreen Monitor, Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 23.8"" Full HD IPS widescreen with 1920 x 1080 resolution Response time: 4ms, refresh rate: 60 hertz, pixel pitch: 0.2745 millimeter. 178 degree wide viewing angle, display colors: 16.7 million The zero frame design provides maximum visibility of the screen from edge to edge Signal inputs: 1 x HDMI, 1 x DVI (withHDCP) & 1 x VGA. Does not support HDCP 2.2, the version this monitor supports is HDCP 1.4 No picture visible using the OSD menu, adjust brightness and contrast to maximum or reset to their default settings. Brightness is 250 nit. Operating power consumption: 25 watts","Style: Monitor only | 

Size: 23.8-inch The Acer R Series 23. 8"" wide viewing IPS display shows every detail clearly and vivid without color difference from any viewing angle. Its zero frame design puts no boundary on your visual enjoyment while the brushed hairline finish stand matches any environment. With Full HD resolution and superior 100 Million: 1 contrast ratio you get detailed imagery for viewing photos, browsing the web and also makes viewing documents side by side easy. It also supports VGA, DVI & HDMI inputs so you can easily power and extend the enjoyment from your smartphone or tablet on Full HD display. What's more, this display features power-saving technologies to conserve cost and resources. (UM. QR0AA. 001). Environmental certification: MPR II.",monitors
"Acer SB230 Bbix 23"" Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor with AMD Radeon FREESYNC Technology - 1ms | 75Hz Refresh (HDMI & VGA ports), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 23"" Full HD (1920 x 1080) Widescreen IPS Monitor with AMD Radeon FreeSync technology Response time: 1ms VRB Panel type: IPS. Brightness 250 nit Refresh rate: 75 hertz Ports: 1 x HDMI, 1 x VGA & 1 x audio port","In competitive gaming, every frame matters. Introducing Acer's SB230 gaming monitor the Full HD resolution monitor that can keep up with your game play. Through AMD Radeon FreeSync technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker less and low dimming display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big screen display. (UM.VS0AA.B02).",monitors
"Acer PE270K 27"" 4K UHD LED LCD Monitor - 16:9 - Black - in-Plane Switching (IPS) Technology - 3840 x 2160-1.07 Billion Colors - FreeSync - 350 Nit - 4 ms GTG - 60 Hz Refresh Rate - 2 Speaker(s)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Number of Screens: 1 Screen Size Class: 27"" Viewable Screen Size: 27"" Screen Mode: 4K UHD Screen Surface: Anti-glare","Designed with Accuracy in Mind Designed with all the tools to provide the best color accuracy in the maximum space. Technically Accurate More realistic images are displayed by using a combination of the latest technologies. More from the Manufacturer. Manufacturer: Acer, Inc. Manufacturer Part Number: UM.HP0AA.002. Brand Name: Acer. Product Series: PE0. Product Model: PE270K. Product Name: PE270K Widescreen LCD Monitor. Product Type: LCD Monitor. [Technical Information] Number of Screens: 1. Screen Size Class: 27"". Viewable Screen Size: 27"". Screen Mode: 4K UHD. Screen Surface: Anti-glare. Panel Technology: In-plane Switching (IPS) Technology. Response Time: 4 ms GTG. Aspect Ratio: 16:9. Pixel Pitch: 6.1 mil. Horizontal Viewing Angle: 178°. Vertical Viewing Angle: 178°. Mount Type: Wall Mountable. Backlight Technology: LED. Maximum Adjustable Height: 4.53"". Tilt Angle: -5°to20°. Adjustable Stand Height: Yes. [Video] Maximum Resolution: 3840 x 2160. Standard Refresh Rate: 60 Hz. Color Supported: 1.07 Billion Colors. Native Contrast Ratio: 1,300:1. Dynamic Contrast Ratio: 100,000,000:1. Brightness: 350 Nit. Tearing Prevention Technology: FreeSync. [Audio] Number of Speakers: 2. Speakers: Yes. Speaker Output Power: 2 W. [Interfaces/Ports] HDMI: Yes. USB: Yes. DisplayPort: Yes. Number of HDMI Inputs: 2. Number of USB 3.1 Upstream Ports: 1. Number of USB 3.1 Downstream Ports: 4. Number of DisplayPorts: 1. [Built-in Devices] Built-in Devices: USB Hub. [Power Description] Input Voltage: 120 V AC. 230 V AC. Standby Power Consumption: 500 mW. Off-Mode Power Consumption: 400 mW. Operating Power Consumption (Energy Star): 36 W. [Physical Characteristics] VESA Mount Compatible: Yes. VESA Mount Standard: 100 x 100. Color: Black. Height: 13.9"". Width: 24.2"". Depth: 2.3"". Height with Stand: 20.55"". Width with Stand",monitors
"Acer Nitro VG270 P 27"" Full HD LED LCD Monitor - 16:9 - Black - 27"" Class - in-Plane Switching (IPS) Technology - 1920 x 1080-16.7 Million Colors - FreeSync - 400 Nit - 1 ms VRB - 144 Hz R","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Number of Screens: 1 Screen Size Class: 27"" Viewable Screen Size: 27"" Screen Mode: Full HD Panel Technology: In-plane Switching (IPS) Technology","Acer VG270 Pbiip 27in,AG Threesides,IPS",monitors
"Acer Nitro XV273 Xbmiiprzx 27"" Full HD (1920 x 1080) IPS AMD Radeon FreeSync & G-SYNC Compatible Gaming Monitor,240Hz,VESA Certified DisplayHDR400,Up to 0.1ms Response Time (1xDP, 2xHDMI&4 x3.0 Ports)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Response Time: Up to 0. 1ms (G to G) Refresh Rate: 240Hz Zero Frame Design | High Brightness and Contrast with VESA Certified DisplayHDR 400 | 2 Speakers at 2 Watts per Speaker Ports: 1 x Display Port 1. 2, 2 x HDMI 2. 0 & 4 x USB 3. 0 Ports (HDMI & USB Cable Included)","Fasten your seatbelt: The Nitro XV273 Full HD display with 1920 x 1080 resolution is all about no compromises on gaming performance, color or speed. This 27-inch (1920 x 1080) monitor combines jaw dropping specs including an IPS panel that supports blazing-fast refresh rate. This G-SYNC Compatible monitor takes gameplay to the next level of smooth. Unleash gaming’s maximum potential to provide richer colors far beyond what has been previously possible. Experience something new. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less, low dimming and ComfyView display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM. HX3AA. X01)",monitors
"Acer ConceptD CM2 Series CM2241W BMIIPRZX 24"" 16:10 Adaptive-Sync IPS Monitor","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Number of Screens: 1 Screen Size Class: 24"" Viewable Screen Size: 24"" Screen Mode: WUXGA Panel Technology: In-plane Switching (IPS) Technology","Acer CM2241W bmiiprzx,24 (1920 x 1200) widescreen anti-glare IPS,16:10 aspect ratio,1ms VRB response time,2 x 2.0W integrated speakers,Three year limited warranty.",monitors
Acer CB272U smiiprx LED Monitor,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Dimensions (WxDxH)24.1 in x 9.2 in x 20.5 in - with stand Display TypeLED-backlit LCD monitor / TFT active matrix Aspect Ratio16:9 Native ResolutionWQHD 2560 x 1440 at 75 Hz","Enjoy an outstanding visual experience with a CB2 Series ZeroFrame monitor, designed with prosumers in mind.",monitors
Acer V246HQL EBID 24IN LED LCD MON 19X10 5MS,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) UPC: 193199983343","Acer V246HQL Ebid,24in (1920 x 1080)",monitors
"Acer 23.6"" XF240Q Sbiipr FHD (1920 x 1080 16:9) Gaming Monitor with AMD FreeSync, IPS 100% sRGB Color Gamut, 144Hz with Overclock Up to 165Hz, 1ms RT (1 x Display Port & 2 x HDMI 2.0 Ports), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) ACER XF - Game like you mean it | Acer XF Series monitors are designed to push your pixels to the max. IPS technology provides wide views and enhanced color with 100% sRGB color gamut. A rapid 144Hz refresh rate smooths out 2D action, and an Overclock Refresh Rate of 165Hz shortens the time it takes for frame rendering, lowers input lag and provides gamers an excellent in-game experience. Add the 1ms response time and you’ve got pixel power. Smoothed gaming - Slide through your ride with AMD FreeSync. FreeSync technology eliminates screen tearing and minimizes stuttering by syncing the display refresh rate with the frames output by your computer’s display card. PC gaming doesn’t get much smoother. | All the right moves - Acer ErgoStand stand with tilt, swivel, pivot and height adjustments so you can always find that ideal viewing position. You can also detach the display panel for use with other VESA mounting devices as needed. Vision protected - Gaming is eye-intensive, so we help protect yours. Acer EyeProtect is a suite of technologies that ensure your eyes aren’t the thing that gets beat. Acer Flicker-Less, Blue Light Filter, Low Dimming and ComfyView technologies combine to make your eyes feel fine. | It’s easy being green - The entire XF line also has multiple green design certifications that attest to our commitment to producing products that are both great and green. Screen Size: 23.6"" | Maximum Resolution: (Full HD) 1920 x 1080 at 144 Hz | Aspect Ratio: 16:9 | Contrast Ratio: 1,000:1 | Response Time: 1 ms | Overclock Refresh Rate: 165 Hz | Color Supported: 16.7 Million | Adaptive Contrast Management (ACM): 100,000,000:1 | Brightness: 300 cd/m squared | Backlight: LED | Viewing Angles: 170 degrees Horizontal, 160 degrees Vertical | Panel Type: Twisted nematic (TN) | Stand: Tilt (-5 degrees - 35 degrees), Height adj (5.91"") Ports and Connectors: 2x HDMI-in, 1x DisplayPort | Power: 500 mW (Power Standby), 400 mW (Power Off), 23 W (Power On) | Environmental Certification: MPR II | Tearing Prevention Technology: AMD Free-Sync | VESA Compatible: Yes, 100 x 100mm | Dimensions (W x H x D): 22.3"" x 21.1"" x 9.6"" (with stand) | Weight: 13.6 lbs. (with stand)","Acer 23.6"" XF240Q Sbiipr FHD (1920 x 1080 16:9) Gaming Monitor with AMD FreeSync",monitors
"Acer BM270 27"" LED LCD Monitor - 16:9-4 ms GTG","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 3840 x 2160 - 1.07 Billion Colors - 1000 Nit - Peak (HDR Mode), 400 Nit - Native - 100,000,000:1 - 4K UHD - Speakers - HDMI - DisplayPort - USB - Black - MPR II 100 hertz","Acer BM270 27"" LED LCD Monitor - 16:9 - 4ms - Free 3 year Warranty - 3840 x 2160 - 1.07 Billion Colors - 1000 Nit - Peak (HDR Mode), 400 Nit - Native - 100,000,000:1 - 4K UHD - Speakers - HDMI - DisplayPort - USB - Black - MPR II",monitors
